subpanel,model,encoding,coupling_strength,seed,resource,performance
a,DV-QRC,Local,0.0001,2,2.9232002306279922e-07,0.9937095182870207
a,DV-QRC,Local,0.0001,3,2.870320424410141e-07,1.9813242018039299
a,DV-QRC,Local,0.0001,4,3.0013668010209925e-07,1.9504941637754594
a,DV-QRC,Local,0.0001,5,2.9328342863965645e-07,1.0018054287831588
a,DV-QRC,Local,0.0001,6,2.8731157935745532e-07,1.9292933693349292
a,DV-QRC,Local,0.0001,7,2.9081848402036591e-07,0.99487176945683897
a,DV-QRC,Local,0.0001,8,2.863426899757148e-07,0
a,DV-QRC,Local,0.0001,9,2.9692381415696029e-07,1.9426609863656825
a,DV-QRC,Local,0.0001,10,2.9671259912346936e-07,1.9282377977112257
a,DV-QRC,Local,0.0001,11,2.9066123490021763e-07,0.014424404538901703
a,DV-QRC,Local,0.0001,12,2.8571272592158288e-07,1.9212954649930054
a,DV-QRC,Local,0.0001,13,2.8872260527275327e-07,2.0042879141066816
a,DV-QRC,Local,0.0001,14,2.8900654963686194e-07,1.9733442926807554
a,DV-QRC,Local,0.0001,15,2.8911414678783803e-07,1.8925888786911065
a,DV-QRC,Local,0.0001,16,2.8812231933506586e-07,1.9532695182875439
a,DV-QRC,Local,0.0001,17,2.8491638359187761e-07,1.9395420021795799
a,DV-QRC,Local,0.0001,18,2.9029962918703279e-07,1.9522826599822012
a,DV-QRC,Local,0.0001,19,2.9823705750898604e-07,0
a,DV-QRC,Local,0.00021544346900318823,0,2.9062092050938565e-07,1.9609168189421022
a,DV-QRC,Local,0.00021544346900318823,1,2.8931893373596167e-07,0.99981221259025665
a,DV-QRC,Local,0.00021544346900318823,2,2.9109183664094336e-07,1.967220937108727
a,DV-QRC,Local,0.00021544346900318823,3,2.8731576403095862e-07,2.9487736850690531
a,DV-QRC,Local,0.00021544346900318823,4,2.9473356087850138e-07,2.7998770097020969
a,DV-QRC,Local,0.00021544346900318823,5,2.8747084046133141e-07,2.558043542223869
a,DV-QRC,Local,0.00021544346900318823,6,2.8781785626803304e-07,2.9471619475781852
a,DV-QRC,Local,0.00021544346900318823,7,2.9358364158238448e-07,2.665731991001004
a,DV-QRC,Local,0.00021544346900318823,8,2.8324882464763871e-07,0.96506317983564371
a,DV-QRC,Local,0.00021544346900318823,9,2.8790258357658414e-07,2.9555976001067323
a,DV-QRC,Local,0.00021544346900318823,10,2.8894827633124239e-07,2.7844225247873458
a,DV-QRC,Local,0.00021544346900318823,11,2.9493575493647293e-07,1.4838805536066952
a,DV-QRC,Local,0.00021544346900318823,12,2.9562122706121523e-07,2.8000622143466845
a,DV-QRC,Local,0.00021544346900318823,13,2.8720896825801535e-07,2.9490422653771837
a,DV-QRC,Local,0.00021544346900318823,14,2.9066180254268857e-07,2.9609906166157667
a,DV-QRC,Local,0.00021544346900318823,15,2.8837412187434341e-07,2.7485974405736657
a,DV-QRC,Local,0.00021544346900318823,16,2.945908081720674e-07,2.881515901071571
a,DV-QRC,Local,0.00021544346900318823,17,2.9348508607278075e-07,2.9298774026033572
a,DV-QRC,Local,0.00021544346900318823,18,2.8957930007021387e-07,2.9697291641396713
a,DV-QRC,Local,0.00021544346900318823,19,2.854629235653058e-07,1.0680806612082216
a,DV-QRC,Local,0.00046415888336127773,0,2.878707861864681e-07,2.9264852470842033
a,DV-QRC,Local,0.00046415888336127773,1,2.9430213114031729e-07,2.9200133163778386
a,DV-QRC,Local,0.00046415888336127773,2,2.8866581802568148e-07,2.8365261470962371
a,DV-QRC,Local,0.00046415888336127773,3,2.8987511275712977e-07,2.9553822834681052
a,DV-QRC,Local,0.00046415888336127773,4,2.9322205400364538e-07,2.9634174401062641
a,DV-QRC,Local,0.00046415888336127773,5,2.8993480601979206e-07,2.6008233642250369
a,DV-QRC,Local,0.00046415888336127773,6,2.8813651178324288e-07,2.9534432872668139
a,DV-QRC,Local,0.00046415888336127773,7,2.8876647609053055e-07,2.736148384358343
a,DV-QRC,Local,0.00046415888336127773,8,2.9357138964680252e-07,1.8801898878113681
a,DV-QRC,Local,0.00046415888336127773,9,2.9004639882462547e-07,2.9664469690838633
a,DV-QRC,Local,0.00046415888336127773,10,2.9136794362359513e-07,2.9264587091415164
a,DV-QRC,Local,0.00046415888336127773,11,2.9056838717709517e-07,1.8460808115843217
a,DV-QRC,Local,0.00046415888336127773,12,2.927274450573841e-07,2.8032314943275631
a,DV-QRC,Local,0.00046415888336127773,13,2.8609725009475972e-07,2.9665663625165815
a,DV-QRC,Local,0.00046415888336127773,14,2.8877635092424499e-07,2.9709780078727341
a,DV-QRC,Local,0.00046415888336127773,15,2.8921512642877268e-07,2.8932166216545969
a,DV-QRC,Local,0.00046415888336127773,16,2.8612817012578891e-07,2.9463703450837357
a,DV-QRC,Local,0.00046415888336127773,17,2.9231384529354491e-07,2.9342497912095045
a,DV-QRC,Local,0.00046415888336127773,18,2.9055647262183568e-07,2.9856208922580647
a,DV-QRC,Local,0.00046415888336127773,19,2.9113078559314189e-07,2.4735980745820094
a,DV-QRC,Local,0.001,0,2.8795145230059585e-07,2.9494008780380696
a,DV-QRC,Local,0.001,1,2.8825962867871161e-07,2.9504044376422502
a,DV-QRC,Local,0.001,2,2.8502381827253166e-07,2.954384709277118
a,DV-QRC,Local,0.001,3,2.9125652929135692e-07,2.9611457661831517
a,DV-QRC,Local,0.001,4,2.882332127913771e-07,2.9667696126250078
a,DV-QRC,Local,0.001,5,2.9430328521197226e-07,2.6737376144295792
a,DV-QRC,Local,0.001,6,2.9365864313944994e-07,2.9782546348865395
a,DV-QRC,Local,0.001,7,2.8790299581933634e-07,2.8165142185975798
a,DV-QRC,Local,0.001,8,2.980563693997254e-07,2.821159566379825
a,DV-QRC,Local,0.001,9,2.9183172019075063e-07,2.9677216089367677
a,DV-QRC,Local,0.001,10,2.9414331870370839e-07,2.9397739798812026
a,DV-QRC,Local,0.001,11,2.9132731148029917e-07,2.5482266169854766
a,DV-QRC,Local,0.001,12,2.9082963573411701e-07,2.8050451788390554
a,DV-QRC,Local,0.001,13,2.866781749498202e-07,2.9682647889353864
a,DV-QRC,Local,0.001,14,2.9026064812274897e-07,2.971941904271886
a,DV-QRC,Local,0.001,15,2.8571997056723921e-07,2.9066196991330999
a,DV-QRC,Local,0.001,16,2.930359513183232e-07,2.9661440810027941
a,DV-QRC,Local,0.001,17,2.8835407335490687e-07,2.9422150049029692
a,DV-QRC,Local,0.001,18,2.8474738466452164e-07,2.9952695815713666
a,DV-QRC,Local,0.001,19,2.8954358917849237e-07,2.7444169169671531
a,DV-QRC,Local,0.0021544346900318821,0,2.87046650133246e-07,2.949503391922673
a,DV-QRC,Local,0.0021544346900318821,1,2.8359601669252786e-07,2.9503547747700498
a,DV-QRC,Local,0.0021544346900318821,2,2.8942151444535292e-07,2.9536062977590793
a,DV-QRC,Local,0.0021544346900318821,3,2.8715836766671058e-07,2.9633743145227447
a,DV-QRC,Local,0.0021544346900318821,4,2.9169115126849021e-07,2.9666594237642232
a,DV-QRC,Local,0.0021544346900318821,5,2.9300751474063882e-07,2.7068400957423964
a,DV-QRC,Local,0.0021544346900318821,6,2.8998922920385386e-07,2.9788067545093941
a,DV-QRC,Local,0.0021544346900318821,7,2.8611769917538457e-07,2.8159235812464933
a,DV-QRC,Local,0.0021544346900318821,8,2.9506815019810811e-07,2.8198817984950715
a,DV-QRC,Local,0.0021544346900318821,9,2.8787327337181248e-07,2.9673161262066809
a,DV-QRC,Local,0.0021544346900318821,10,2.9542240008586516e-07,2.9401817604120581
a,DV-QRC,Local,0.0021544346900318821,11,2.8867210010052873e-07,2.5353437088493287
a,DV-QRC,Local,0.0021544346900318821,12,2.8889643330562667e-07,2.8070091650280555
a,DV-QRC,Local,0.0021544346900318821,13,2.9020986939605482e-07,2.9677108807135868
a,DV-QRC,Local,0.0021544346900318821,14,2.914673072535695e-07,2.9721925581147284
a,DV-QRC,Local,0.0021544346900318821,15,2.8758669889622882e-07,2.9124090859900922
a,DV-QRC,Local,0.0021544346900318821,16,2.8605409923469006e-07,2.9660044306991598
a,DV-QRC,Local,0.0021544346900318821,17,2.8948878108159114e-07,2.9453463639940347
a,DV-QRC,Local,0.0021544346900318821,18,2.9510311985971703e-07,2.9959758047969527
a,DV-QRC,Local,0.0021544346900318821,19,2.8900459712241538e-07,2.7360196037653606
a,DV-QRC,Local,0.0046415888336127772,0,2.9033791246462207e-07,2.9487507912012934
a,DV-QRC,Local,0.0046415888336127772,1,2.9033881363764214e-07,2.9507116909941251
a,DV-QRC,Local,0.0046415888336127772,2,2.8477097151604927e-07,2.9544579943297471
a,DV-QRC,Local,0.0046415888336127772,3,2.8322991086506715e-07,2.9676559875702866
a,DV-QRC,Local,0.0046415888336127772,4,2.8570926054939298e-07,2.9656233770023417
a,DV-QRC,Local,0.0046415888336127772,5,2.9113553933207198e-07,2.7867272895871316
a,DV-QRC,Local,0.0046415888336127772,6,2.903820373636879e-07,2.9792487484479722
a,DV-QRC,Local,0.0046415888336127772,7,2.9114565560042674e-07,2.8109318689153966
a,DV-QRC,Local,0.0046415888336127772,8,2.8618337622264288e-07,2.8288733310189209
a,DV-QRC,Local,0.0046415888336127772,9,2.8422301644638215e-07,2.968005813638384
a,DV-QRC,Local,0.0046415888336127772,10,2.9012421423429291e-07,2.940000737107439
a,DV-QRC,Local,0.0046415888336127772,11,2.9047872331280764e-07,2.5263268076453307
a,DV-QRC,Local,0.0046415888336127772,12,2.9598724850903563e-07,2.8105530322274372
a,DV-QRC,Local,0.0046415888336127772,13,2.947991973095319e-07,2.9687980079286103
a,DV-QRC,Local,0.0046415888336127772,14,2.8883799818766695e-07,2.9724406071577003
a,DV-QRC,Local,0.0046415888336127772,15,2.8314156623942418e-07,2.9216858530349388
a,DV-QRC,Local,0.0046415888336127772,16,2.8183102649583937e-07,2.9664590619329916
a,DV-QRC,Local,0.0046415888336127772,17,2.8973236267708974e-07,2.9514574866198071
a,DV-QRC,Local,0.0046415888336127772,18,2.9172165725920076e-07,2.9973905717998641
a,DV-QRC,Local,0.0046415888336127772,19,2.8995809014503056e-07,2.7354110312869557
a,DV-QRC,Local,0.01,0,2.9555732881957286e-07,2.9478635147906393
a,DV-QRC,Local,0.01,1,2.9241284357633604e-07,2.9525380027035721
a,DV-QRC,Local,0.01,2,2.9167741480080196e-07,2.9526694065879711
a,DV-QRC,Local,0.01,3,2.9091728339778918e-07,2.9721124194041533
a,DV-QRC,Local,0.01,4,2.884675674299399e-07,2.9640854181527758
a,DV-QRC,Local,0.01,5,2.8909245154257156e-07,2.8957640788538415
a,DV-QRC,Local,0.01,6,2.8833587860864143e-07,2.9820065478183828
a,DV-QRC,Local,0.01,7,2.9125981413032961e-07,2.8081450858096542
a,DV-QRC,Local,0.01,8,2.9553281846000232e-07,2.8356177010830792
a,DV-QRC,Local,0.01,9,2.8696180402131082e-07,2.9705601952525367
a,DV-QRC,Local,0.01,10,2.8925875624912994e-07,2.9508172766131593
a,DV-QRC,Local,0.01,11,2.9298346746364344e-07,2.4961486223527127
a,DV-QRC,Local,0.01,12,2.7851005927885757e-07,2.8176109024815466
a,DV-QRC,Local,0.01,13,2.8324918750117935e-07,2.9705076398311885
a,DV-QRC,Local,0.01,14,2.9371868048897342e-07,2.9726936966712598
a,DV-QRC,Local,0.01,15,2.8839402443948134e-07,2.9382279776638258
a,DV-QRC,Local,0.01,16,2.8888122228573102e-07,2.9692539309591277
a,DV-QRC,Local,0.01,17,2.9173984922330983e-07,2.9613452857963427
a,DV-QRC,Local,0.01,18,2.9403654127514955e-07,3.0023246916767858
a,DV-QRC,Local,0.01,19,2.9240174951198673e-07,2.7290439143036593
a,DV-QRC,Local,0.021544346900318822,0,2.9375187577680795e-07,2.9456499525494686
a,DV-QRC,Local,0.021544346900318822,1,2.8519881841567389e-07,2.9662651282198005
a,DV-QRC,Local,0.021544346900318822,2,2.8362744286795163e-07,2.9650001281429272
a,DV-QRC,Local,0.021544346900318822,3,2.9791396824442787e-07,2.9758569155146866
a,DV-QRC,Local,0.021544346900318822,4,2.8811745535511988e-07,2.9600961273468656
a,DV-QRC,Local,0.021544346900318822,5,2.8597597286319775e-07,2.9577976665630761
a,DV-QRC,Local,0.021544346900318822,6,2.9307785009523087e-07,2.9869237458067133
a,DV-QRC,Local,0.021544346900318822,7,2.9686162486233003e-07,2.8335008306750158
a,DV-QRC,Local,0.021544346900318822,8,2.9128276747016303e-07,2.873443089131996
a,DV-QRC,Local,0.021544346900318822,9,2.9555894520911811e-07,2.9808888307439139
a,DV-QRC,Local,0.021544346900318822,10,2.9603246536809604e-07,2.9531582629409696
a,DV-QRC,Local,0.021544346900318822,11,2.9085644037075876e-07,2.4714480575687583
a,DV-QRC,Local,0.021544346900318822,12,2.9251066047923772e-07,2.8394899603906039
a,DV-QRC,Local,0.021544346900318822,13,2.9254697921111392e-07,2.979517251310261
a,DV-QRC,Local,0.021544346900318822,14,2.9013140008940201e-07,2.9730747016071133
a,DV-QRC,Local,0.021544346900318822,15,2.9017971775517884e-07,2.9568023265557626
a,DV-QRC,Local,0.021544346900318822,16,2.9318497434810463e-07,2.984167532756822
a,DV-QRC,Local,0.021544346900318822,17,2.8318978075752034e-07,2.9762250160801624
a,DV-QRC,Local,0.021544346900318822,18,2.9669656818782076e-07,3.0091662370878218
a,DV-QRC,Local,0.021544346900318822,19,2.9326611203616472e-07,2.7663290006618713
a,DV-QRC,Local,0.046415888336127774,0,0.00039854245927908145,2.9662367652103345
a,DV-QRC,Local,0.046415888336127774,1,0.00022080698425349442,3.0405136091474132
a,DV-QRC,Local,0.046415888336127774,2,6.3801351381116608e-05,3.0524729287160457
a,DV-QRC,Local,0.046415888336127774,3,0.0007059351237728317,2.9900923392070382
a,DV-QRC,Local,0.046415888336127774,4,0.00023583372376612141,2.9543554583504363
a,DV-QRC,Local,0.046415888336127774,5,0.00031496601774480142,2.9774249679342577
a,DV-QRC,Local,0.046415888336127774,6,0.00045362721885746867,2.9999845916472063
a,DV-QRC,Local,0.046415888336127774,7,0.00014021086545841079,2.8951969443055932
a,DV-QRC,Local,0.046415888336127774,8,0.00072437184180632064,3.1514705702278558
a,DV-QRC,Local,0.046415888336127774,9,0.00053260058015430615,3.0266718541801745
a,DV-QRC,Local,0.046415888336127774,10,0.00043592427299431175,3.0254995630942707
a,DV-QRC,Local,0.046415888336127774,11,0.00054914301732453697,2.4607886966679748
a,DV-QRC,Local,0.046415888336127774,12,0.0003246790378632475,2.8837801461789301
a,DV-QRC,Local,0.046415888336127774,13,0.00055644143738504146,3.0657535024064044
a,DV-QRC,Local,0.046415888336127774,14,0.00049846951345236122,2.9906994527104738
a,DV-QRC,Local,0.046415888336127774,15,0.00050579917646615107,3.0584333896957236
a,DV-QRC,Local,0.046415888336127774,16,0.00024874417936968899,3.1169040509918036
a,DV-QRC,Local,0.046415888336127774,17,0.00043696580670671531,2.9917444320564206
a,DV-QRC,Local,0.046415888336127774,18,0.00059651958336646982,3.0252563933854892
a,DV-QRC,Local,0.046415888336127774,19,0.00025109382291527637,2.9091897225842844
a,DV-QRC,Local,0.10000000000000001,0,0.0042141236441207899,3.116788907587642
a,DV-QRC,Local,0.10000000000000001,1,0.0036732762704541799,3.3265007593764397
a,DV-QRC,Local,0.10000000000000001,2,0.003106445412890165,3.4639900730119919
a,DV-QRC,Local,0.10000000000000001,3,0.0057450576150306649,3.1782592607193196
a,DV-QRC,Local,0.10000000000000001,4,0.0049879035602294021,3.0090075496604838
a,DV-QRC,Local,0.10000000000000001,5,0.0044955209806237404,3.1695006132286441
a,DV-QRC,Local,0.10000000000000001,6,0.0051207914020038013,3.1078090045222586
a,DV-QRC,Local,0.10000000000000001,7,0.003708888960093745,2.9766033399176877
a,DV-QRC,Local,0.10000000000000001,8,0.0057889281845523791,3.5310849105519959
a,DV-QRC,Local,0.10000000000000001,9,0.0053878542990023334,3.1977422795833279
a,DV-QRC,Local,0.10000000000000001,10,0.0042148707707356133,3.3481070257286056
a,DV-QRC,Local,0.10000000000000001,11,0.0051981037856154502,2.6174738305920453
a,DV-QRC,Local,0.10000000000000001,12,0.0055793530274032147,3.0508143905200562
a,DV-QRC,Local,0.10000000000000001,13,0.0059636596228165532,3.550386765596687
a,DV-QRC,Local,0.10000000000000001,14,0.0053397609646044933,3.2139437043670869
a,DV-QRC,Local,0.10000000000000001,15,0.0052072133644388259,3.5684917072712246
a,DV-QRC,Local,0.10000000000000001,16,0.0042212998473289487,3.6666635188734151
a,DV-QRC,Local,0.10000000000000001,17,0.0048780587747136468,3.0802101002121942
a,DV-QRC,Local,0.10000000000000001,18,0.0061389090399709802,3.2123601280203689
a,DV-QRC,Local,0.10000000000000001,19,0.0045025571037825207,3.4215830509532519
a,DV-QRC,Local,0.21544346900318823,0,0.014744164592965231,3.6666135462499998
a,DV-QRC,Local,0.21544346900318823,1,0.013582904596429376,3.8332628986296147
a,DV-QRC,Local,0.21544346900318823,2,0.01248911075906301,3.8556752600166888
a,DV-QRC,Local,0.21544346900318823,3,0.018345946537887601,3.7774591794764829
a,DV-QRC,Local,0.21544346900318823,4,0.017361371531964452,3.3441654464502024
a,DV-QRC,Local,0.21544346900318823,5,0.015590399302149284,3.7491492289931081
a,DV-QRC,Local,0.21544346900318823,6,0.017386173839265398,3.7123119899636476
a,DV-QRC,Local,0.21544346900318823,7,0.014216437029373816,3.280068511792952
a,DV-QRC,Local,0.21544346900318823,8,0.018397179881021943,3.6226027748907876
a,DV-QRC,Local,0.21544346900318823,9,0.017865444596944561,3.7932468331201439
a,DV-QRC,Local,0.21544346900318823,10,0.014552354399579897,3.7973595948406085
a,DV-QRC,Local,0.21544346900318823,11,0.017053063843019328,2.9780889678278806
a,DV-QRC,Local,0.21544346900318823,12,0.018494849708730981,3.6428691422850648
a,DV-QRC,Local,0.21544346900318823,13,0.019168315084120795,3.856997610949302
a,DV-QRC,Local,0.21544346900318823,14,0.017453117575113797,3.6677807688201631
a,DV-QRC,Local,0.21544346900318823,15,0.01673065482212938,3.8371923792431315
a,DV-QRC,Local,0.21544346900318823,16,0.015296833451489385,3.9493166699578133
a,DV-QRC,Local,0.21544346900318823,17,0.01656583603949581,3.6004052668001694
a,DV-QRC,Local,0.21544346900318823,18,0.019407922007027633,3.8473989196088105
a,DV-QRC,Local,0.21544346900318823,19,0.015747464618010125,3.569220509468932
a,DV-QRC,Local,0.46415888336127725,0,0.03795798709330428,3.9184021637744975
a,DV-QRC,Local,0.46415888336127725,1,0.035041958215731847,3.9962258546104232
a,DV-QRC,Local,0.46415888336127725,2,0.033123592199344049,3.9443861952459338
a,DV-QRC,Local,0.46415888336127725,3,0.044864743697522198,3.9603689067447396
a,DV-QRC,Local,0.46415888336127725,4,0.043864046947048783,3.8460302385724496
a,DV-QRC,Local,0.46415888336127725,5,0.039142963347086161,3.9251284877133803
a,DV-QRC,Local,0.46415888336127725,6,0.043767992139999455,4.0013555162880685
a,DV-QRC,Local,0.46415888336127725,7,0.036813965571207682,3.7788135512164676
a,DV-QRC,Local,0.46415888336127725,8,0.045294312641204738,3.6083247818917137
a,DV-QRC,Local,0.46415888336127725,9,0.044186637192161912,3.9244680661249811
a,DV-QRC,Local,0.46415888336127725,10,0.036498369440670579,3.9447235085177881
a,DV-QRC,Local,0.46415888336127725,11,0.042406850950272176,3.117505497747735
a,DV-QRC,Local,0.46415888336127725,12,0.045921727599651324,3.9275075055266635
a,DV-QRC,Local,0.46415888336127725,13,0.047127856502410817,3.973659707129535
a,DV-QRC,Local,0.46415888336127725,14,0.043053174536184804,3.8232953714457798
a,DV-QRC,Local,0.46415888336127725,15,0.040756106782934981,3.9162818338485912
a,DV-QRC,Local,0.46415888336127725,16,0.038807459109000873,3.9693396080874734
a,DV-QRC,Local,0.46415888336127725,17,0.041154092500848026,3.9534747154490821
a,DV-QRC,Local,0.46415888336127725,18,0.048147973340402106,3.9752854248077214
a,DV-QRC,Local,0.46415888336127725,19,0.039659493984800023,3.7113283608149468
a,DV-QRC,Local,1,0,0.084353042476283419,3.935577407970726
a,DV-QRC,Local,1,1,0.076995203732740589,4.2370868125723495
a,DV-QRC,Local,1,2,0.074585327127002499,4.0377907053682698
a,DV-QRC,Local,1,3,0.096081369098592634,4.0326769078586526
a,DV-QRC,Local,1,4,0.097062773017297904,3.9957732743606291
a,DV-QRC,Local,1,5,0.084562271925037319,4.0019612541331231
a,DV-QRC,Local,1,6,0.0961305931439492,4.1409210658779241
a,DV-QRC,Local,1,7,0.082865228321378229,3.8121919156747515
a,DV-QRC,Local,1,8,0.09801301302648481,3.6391001646526613
a,DV-QRC,Local,1,9,0.095419850451364252,4.110705538440433
a,DV-QRC,Local,1,10,0.079429662928508268,4.2237098248478713
a,DV-QRC,Local,1,11,0.091328500682066702,3.5221758523018236
a,DV-QRC,Local,1,12,0.10008661895901168,4.0209911633416437
a,DV-QRC,Local,1,13,0.10254905664389508,4.1144000600311061
a,DV-QRC,Local,1,14,0.092888092179798792,3.9599752500724561
a,DV-QRC,Local,1,15,0.085255743148033969,4.1462523982047141
a,DV-QRC,Local,1,16,0.084922591913276543,3.9874244451356073
a,DV-QRC,Local,1,17,0.089316534365886713,4.0412828139799561
a,DV-QRC,Local,1,18,0.10500370866853004,4.0813316211786086
a,DV-QRC,Local,1,19,0.087020741220831449,3.860702169131609
a,DV-QRC,Local,2.154434690031882,0,0.15784883454924586,4.0541812848305847
a,DV-QRC,Local,2.154434690031882,1,0.14540544474872832,4.7854697386686595
a,DV-QRC,Local,2.154434690031882,2,0.14580666035403164,4.1867597238226786
a,DV-QRC,Local,2.154434690031882,3,0.1705575484848027,4.276697430733428
a,DV-QRC,Local,2.154434690031882,4,0.18333920986178356,4.0102658439566552
a,DV-QRC,Local,2.154434690031882,5,0.15303418923376733,4.1064190236530385
a,DV-QRC,Local,2.154434690031882,6,0.17743511723597824,4.0661527193572331
a,DV-QRC,Local,2.154434690031882,7,0.1631287076985849,4.0305162034898014
a,DV-QRC,Local,2.154434690031882,8,0.17651640815789196,4.1493878061306644
a,DV-QRC,Local,2.154434690031882,9,0.17465771190827109,4.1042972584344568
a,DV-QRC,Local,2.154434690031882,10,0.14910837856336429,4.2682879503413265
a,DV-QRC,Local,2.154434690031882,11,0.16485872856783432,4.0889221143463779
a,DV-QRC,Local,2.154434690031882,12,0.18530266918925287,4.1353301433061063
a,DV-QRC,Local,2.154434690031882,13,0.18674201286739886,4.3392491283052177
a,DV-QRC,Local,2.154434690031882,14,0.16903229823937227,4.0220992236232123
a,DV-QRC,Local,2.154434690031882,15,0.14751322249990356,4.3078831831364113
a,DV-QRC,Local,2.154434690031882,16,0.15934729286857047,3.9931918878296657
